,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,LOG PRICE,Chhattarpur,Chittaranjan Park,Common Wealth Games Village,Dilshad Garden,Dwarka,Greater Kailash,Hauz Khas,Kalkaji,Karol Bagh,Kirti Nagar,Lajpat Nagar,Laxmi Nagar,Mahavir Enclave,Malviya Nagar,Mathura Road,Mehrauli,New Friends Colony,Okhla,Other,Paschim Vihar,Patel Nagar,Rohini Sector,Safdarjung Enclave,Saket,Shahdara,Sheikh Sarai,Sultanpur,Uttam Nagar,Vasant Kunj,Vasundhara Enclave
79,1600.0,3,3.0,0.5,Dwarka,1.0,15600000,1,0,1,16.562781472219765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1400.0,3,2.0,0.0,Dwarka,1.0,11400000,1,0,1,16.249123913364723,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2300.0,4,4.0,1.0,Dwarka,1.0,31500000,1,0,1,17.26549810379586,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1560.0,3,2.0,1.0,Dwarka,2.0,15800000,1,0,1,16.575520497997196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1500.0,3,3.0,0.5,Dwarka,2.0,16000000,1,0,1,16.588099280204055,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1540.0,3,3.0,0.5,Dwarka,1.0,14500000,1,0,1,16.489659207390805,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1050.0,2,2.0,0.0,Dwarka,1.0,10500000,1,0,1,16.166885815127753,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1800.0,3,2.0,0.5,Dwarka,1.0,14800000,1,0,1,16.510137738734343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,400.0,1,1.0,0.5,Dwarka,1.0,1850000,1,1,0,14.430696197054507,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1150.0,3,2.0,0.5,Dwarka,1.0,6800000,1,1,0,15.732433170146335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1525.0,3,3.0,0.5,Dwarka,1.0,14200000,1,0,1,16.46875252257149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,900.0,1,1.0,0.5,Lajpat Nagar,0.0,8900000,1,0,0,16.00156183470237,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1450.0,3,3.0,0.5,Lajpat Nagar,2.0,37500000,1,1,0,17.43985149094064,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1450.0,3,3.0,0.5,Lajpat Nagar,2.0,30000000,1,1,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1260.0,3,3.0,0.5,Lajpat Nagar,2.0,21000000,1,0,0,16.860032995687696,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2925.0,4,4.0,0.0,Lajpat Nagar,2.0,57500000,1,1,0,17.86729550576758,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1710.0,3,3.0,0.5,Lajpat Nagar,1.0,30000000,1,0,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1600.0,3,3.0,0.0,Lajpat Nagar,1.0,30000000,1,1,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1500.0,3,3.0,0.5,Lajpat Nagar,1.0,31500000,1,0,0,17.26549810379586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2200.0,3,3.0,0.0,Lajpat Nagar,1.0,30000000,1,0,0,17.216707939626428,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
